Institution,CIPCODE,CIPCODE_LABEL,ConferralYear,AwardLevel,Completions,Target Program
A T Still University of Health Sciences,51.2201,"Public Health, General.",2020,Master's degree,68,X
A T Still University of Health Sciences,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,17,X
Abilene Christian University,52.0201,"Business Administration and Management, General.",2020,Master's degree,83,X
Abilene Christian University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,5,X
Abilene Christian University,11.0103,Information Technology.,2020,Master's degree,0,X
Adams State University,44.0401,Public Administration.,2020,Master's degree,4,X
Adler University,42.0101,"Psychology, General.",2020,Master's degree,35,X
Adrian College,52.0301,Accounting.,2020,Master's degree,12,X
Adrian College,31.0504,Sport and Fitness Administration/Management.,2020,Master's degree,1,X
Adrian College,13.0301,Curriculum and Instruction.,2020,Master's degree,1,X
AdventHealth University,51.3802,Nursing Administration.,2020,Master's degree,0,X
Alabama A & M University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,1,X
Albany State University,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,18,X
Albany State University,13.1101,Counselor Education/School Counseling and Guidance Services.,2020,Master's degree,2,X
Albany State University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,4,X
Albertus Magnus College,52.0201,"Business Administration and Management, General.",2020,Master's degree,63,X
Albizu University-Miami,42.2804,Industrial and Organizational Psychology.,2020,Master's degree,18,X
Alcorn State University,13.1205,Secondary Education and Teaching.,2020,Master's degree,21,X
Alderson Broaddus University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,4,X
Allen College,51.3802,Nursing Administration.,2020,Master's degree,2,X
Alliance University,52.0213,Organizational Leadership.,2020,Master's degree,16,X
Alliance University,52.0201,"Business Administration and Management, General.",2020,Master's degree,14,X
Alliance University,51.1508,Mental Health Counseling/Counselor.,2020,Master's degree,38,X
Alliance University,13.1202,Elementary Education and Teaching.,2020,Master's degree,5,X
Alvernia University,13.1001,"Special Education and Teaching, General.",2020,Master's degree,4,X
Amberton University,52.0201,"Business Administration and Management, General.",2020,Master's degree,115,X
America Evangelical University,52.0201,"Business Administration and Management, General.",2020,Master's degree,1,X
America Evangelical University,13.1101,Counselor Education/School Counseling and Guidance Services.,2020,Master's degree,3,X
American International College,51.3805,Family Practice Nurse/Nursing.,2020,Master's degree,25,X
American International College,51.3802,Nursing Administration.,2020,Master's degree,0,X
American University,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,9,X
American University,31.0504,Sport and Fitness Administration/Management.,2020,Master's degree,16,X
American University,22.0201,"Advanced Legal Research/Studies, General.",2020,Master's degree,12,X
Amridge University,52.0201,"Business Administration and Management, General.",2020,Master's degree,0,X
Amridge University,52.0213,Organizational Leadership.,2020,Master's degree,18,X
Ana G. Mendez University,52.0203,"Logistics, Materials, and Supply Chain Management.",2020,Master's degree,4,X
Ana G. Mendez University,52.0201,"Business Administration and Management, General.",2020,Master's degree,15,X
Anderson University,13.0501,Educational/Instructional Technology.,2020,Master's degree,14,X
Andrews University,52.0201,"Business Administration and Management, General.",2020,Master's degree,25,X
Andrews University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,2,X
Andrews University,13.0301,Curriculum and Instruction.,2020,Master's degree,4,X
Angelo State University,52.0201,"Business Administration and Management, General.",2020,Master's degree,85,X
Angelo State University,51.3805,Family Practice Nurse/Nursing.,2020,Master's degree,24,X
Angelo State University,51.3203,Nursing Education.,2020,Master's degree,4,X
Angelo State University,44.0701,Social Work.,2020,Master's degree,0,X
Angelo State University,13.1101,Counselor Education/School Counseling and Guidance Services.,2020,Master's degree,175,X
Angelo State University,13.0401,"Educational Leadership and Administration, General.",2020,Master's degree,45,X
Angelo State University,13.0301,Curriculum and Instruction.,2020,Master's degree,40,X
Anna Maria College,44.0401,Public Administration.,2020,Master's degree,101,X
Antioch University,52.0213,Organizational Leadership.,2020,Master's degree,2,X
Appalachian State University,52.0201,"Business Administration and Management, General.",2020,Master's degree,58,X
Appalachian State University,51.3801,Registered Nursing/Registered Nurse.,2020,Master's degree,11,X
Appalachian State University,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,27,X
Appalachian State University,25.0101,Library and Information Science.,2020,Master's degree,24,X
Appalachian State University,13.1202,Elementary Education and Teaching.,2020,Master's degree,0,X
Appalachian State University,13.0501,Educational/Instructional Technology.,2020,Master's degree,12,X
Appalachian State University,13.0301,Curriculum and Instruction.,2020,Master's degree,15,X
Arizona State University Digital Immersion,52.1301,Management Science.,2020,Master's degree,264,X
Arizona State University Digital Immersion,51.0701,Health/Health Care Administration/Management.,2020,Master's degree,0,X
Arizona State University Digital Immersion,44.0701,Social Work.,2020,Master's degree,328,X
Arizona State University Digital Immersion,44.0501,"Public Policy Analysis, General.",2020,Master's degree,1,X
Arizona State University Digital Immersion,44.0401,Public Administration.,2020,Master's degree,14,X
Arizona State University Digital Immersion,42.0101,"Psychology, General.",2020,Master's degree,72,X
Arizona State University Digital Immersion,22.0201,"Advanced Legal Research/Studies, General.",2020,Master's degree,159,X
